subforum,thread_title,post_subject,post_counter,post_content,post_time,username,user_posts_per_day,user_total_posts,quoted_post,quoted_username,img_urls,embed_urls,other_urls
Personals,Anong gusto mong sabihin kay crush?,,70,Kilig much!,"May 10, 2013",mochanne, 0.16, 437,Gudmorning crush,SilverStreak,,,
Personals,Anong gusto mong sabihin kay crush?,,73,^^^ wahahaha..,"May 10, 2013",SilverStreak, 0.17, 476,,,,,
Personals,Anong gusto mong sabihin kay crush?,,69,Gudmorning crush,"May 10, 2013",SilverStreak, 0.17, 476,,,,,
Personals,Anong gusto mong sabihin kay crush?,,68,"dear new found crush, di ko akalain, kakaiba ka pala","May 10, 2013",katze_schmuse, 3.46," 6,742",,,,,
Personals,Anong gusto mong sabihin kay crush?,,71,Crush...naiinlab nako sayo,"May 10, 2013",SilverStreak, 0.17, 476,,,,,
Personals,Anong gusto mong sabihin kay crush?,,74,"natawa naman ako dito ont: crush, sobrang nag enjoy ako sa kwentuhan natin sana ikaw din","May 11, 2013",katze_schmuse, 3.46," 6,742",I hope you die. Oh wait.... wrong thread.,Merida,,,
Personals,Anong gusto mong sabihin kay crush?,,72,I hope you die. Oh wait.... wrong thread.,"May 10, 2013",Merida, 2.27," 4,212",,,,,
Personals,Anong gusto mong sabihin kay crush?,,75,sana crush mo rin ako..,"May 11, 2013",Aizrith, 0.58," 1,137",,,,,
Personals,Anong gusto mong sabihin kay crush?,,79,"crush sana hindi na kita naging crush di na kita maasar eh, and lagi na lang natatahimik ako pag nandiyan ka","May 12, 2013",aimboy234, 0.45," 1,514",,,,,
Personals,Anong gusto mong sabihin kay crush?,,77,Crush ilang linggo na kitang hindi nakikita when will i see you again?,"May 12, 2013",senche, 1.32," 4,079",,,,,
Personals,Anong gusto mong sabihin kay crush?,,80,"Hi crush, yup lagi naman kita napapaniginipsn","May 13, 2013",mochanne, 0.16, 437,hi crush...sana mapanaginipan mo ko habang ka,SilverStreak,,,
